email,username,password,sock,topic_0,pos_0,topic_1,pos_1,topic_2,pos_2,strategy,turk_ids
Jake_5893@sockpuppet.com,Jake_5893,fwzjle,1,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""","How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly approve,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,UNRESTRICTED,A3CA5S8GR8TZ1U
Willie_1327@sockpuppet.com,Willie_1327,iudwpa,2,How active of a role should the United States play in world affairs?,We should pay less attention to problems overseas and concentrate on problems here at home.,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly favor,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",COVERT,AYT6G75JNE3OH
Jenna_5796@sockpuppet.com,Jenna_5796,hoopat,2,How active of a role should the United States play in world affairs?,We should pay less attention to problems overseas and concentrate on problems here at home.,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly favor,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",COVERT,AYT6G75JNE3OH
Jenna_4581@sockpuppet.com,Jenna_4581,sbcwyw,2,How active of a role should the United States play in world affairs?,We should pay less attention to problems overseas and concentrate on problems here at home.,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly favor,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",COVERT,AYT6G75JNE3OH
Luke_8904@sockpuppet.com,Luke_8904,dugrhl,2,How active of a role should the United States play in world affairs?,We should pay less attention to problems overseas and concentrate on problems here at home.,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly favor,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",COVERT,AYT6G75JNE3OH
Jack_3595@sockpuppet.com,Jack_3595,dkvjim,2,How active of a role should the United States play in world affairs?,We should pay less attention to problems overseas and concentrate on problems here at home.,How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly favor,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",COVERT,AYT6G75JNE3OH
Tanner_3468@sockpuppet.com,Tanner_3468,hsjits,3,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Not strong enough,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",UNRESTRICTED,A2ATXOR5WL2S0Q
Jenna_8986@sockpuppet.com,Jenna_8986,yjdkht,3,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Not strong enough,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",UNRESTRICTED,A2ATXOR5WL2S0Q
Dustin_9353@sockpuppet.com,Dustin_9353,xtwume,3,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Not strong enough,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",UNRESTRICTED,A2ATXOR5WL2S0Q
Hannah_153@sockpuppet.com,Hannah_153,fmlwze,3,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Not strong enough,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",UNRESTRICTED,A2ATXOR5WL2S0Q
Hannah_8264@sockpuppet.com,Hannah_8264,kxoebg,4,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,OVERT,AIBGWUUPC4SQ3
Katie_5331@sockpuppet.com,Katie_5331,ctaiuu,4,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,OVERT,AIBGWUUPC4SQ3
Carly_6944@sockpuppet.com,Carly_6944,smvgqu,4,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,OVERT,AIBGWUUPC4SQ3
Allison_9123@sockpuppet.com,Allison_9123,qpynqr,4,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,OVERT,AIBGWUUPC4SQ3
Amy_1299@sockpuppet.com,Amy_1299,jvugbz,4,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,OVERT,AIBGWUUPC4SQ3
Katherine_9123@sockpuppet.com,Katherine_9123,ktrbug,4,How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How strongly do you favor or oppose the use of nuclear energy as one of the ways to provide electricity for the United States?,Strongly oppose,OVERT,AIBGWUUPC4SQ3
Allison_3206@sockpuppet.com,Allison_3206,pmnjth,5,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,COVERT,APRZ7BR8C0ZMQ
Willie_4763@sockpuppet.com,Willie_4763,rqygjl,5,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,COVERT,APRZ7BR8C0ZMQ
Allison_2018@sockpuppet.com,Allison_2018,isprha,5,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,COVERT,APRZ7BR8C0ZMQ
Malik_7556@sockpuppet.com,Malik_7556,qpbhxn,5,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,COVERT,APRZ7BR8C0ZMQ
Jamal_4473@sockpuppet.com,Jamal_4473,eeapku,5,How likely is it that the United States experience a terrorist attack in the next ten years that will kill more than 1000 American civilians?,Very likely,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority"," even at the risk of curbing economic growth.""",How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly approve,COVERT,APRZ7BR8C0ZMQ
Willie_9454@sockpuppet.com,Willie_9454,uceoob,6,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,How active of a role should the United States play in world affairs?,It is best for the future of our country to be active in world affairs.,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Too strong,OVERT,A1NGXQMOBCXDC3
Asia_9450@sockpuppet.com,Asia_9450,uwabfe,6,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,How active of a role should the United States play in world affairs?,It is best for the future of our country to be active in world affairs.,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Too strong,OVERT,A1NGXQMOBCXDC3
Cody_2039@sockpuppet.com,Cody_2039,jkzbmv,6,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,How active of a role should the United States play in world affairs?,It is best for the future of our country to be active in world affairs.,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Too strong,OVERT,A1NGXQMOBCXDC3
Bradley_7762@sockpuppet.com,Bradley_7762,wswxwf,6,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,How active of a role should the United States play in world affairs?,It is best for the future of our country to be active in world affairs.,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Too strong,OVERT,A1NGXQMOBCXDC3
Scott_3855@sockpuppet.com,Scott_3855,mlifqx,6,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,How active of a role should the United States play in world affairs?,It is best for the future of our country to be active in world affairs.,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Too strong,OVERT,A1NGXQMOBCXDC3
Malik_3401@sockpuppet.com,Malik_3401,qksllk,6,"How strongly would you approve or disapprove of a two percent annual tax on households whose net worth (including income, real estate, stocks and other investments) is more than 50 million?",Strongly disapprove,How active of a role should the United States play in world affairs?,It is best for the future of our country to be active in world affairs.,Do you think that the actions the U.S. government has taken in response to the Coronavirus pandemic have been too strong or not strong enough?,Too strong,OVERT,A1NGXQMOBCXDC3
Lucas_4606@sockpuppet.com,Lucas_4606,dnvmud,7,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly disapprove,OVERT,A1N3I0V32IPHC9
Emily_9474@sockpuppet.com,Emily_9474,juhhrh,7,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly disapprove,OVERT,A1N3I0V32IPHC9
Molly_1943@sockpuppet.com,Molly_1943,edbybq,7,"How should the United States balance protection of the environment and economy growth?,Protection of the environment should be given priority","Economic growth should be given priority, even if the environment suffers to some extent.",How likely is it that the Dow Jones will end the year 2020 down at least 20% from its peak in February 2020?,Yes,How strongly would you approve or disapprove of keeping the current health care system but allowing all adults the option of buying into Medicare if they choose?,Strongly disapprove,OVERT,A1N3I0V32IPHC9
